"Breed","height_low_m","height_high_m","weight_low_kg","weight_high_kg","height_avg","weight_avg","bmi_low","bmi_avg","bmi_high"
"Chinese Shar Pei",0.4572,0.508,20.41164,24.94756,0.4826,22.6796,97.6484730747239,97.3779786894754,96.6719883439767
"Chow Chow",0.4826,0.5588,20.41164,24.94756,0.5207,22.6796,87.6401808205278,83.6489001948855,79.8942052429559
"Cocker Spaniel-American",0.381,0.4064,9.979024,12.700576,0.3937,11.3398,68.7445250446056,73.1601463202926,76.8981725463451
"Cocker Spaniel-English",0.381,0.4318,11.3398,15.87572,0.4064,13.60776,78.1187784597791,82.3908991567983,85.1467654492402
"Dalmatian",0.4826,0.5842,20.41164,31.75144,0.5334,26.08154,87.6401808205278,91.6699951313735,93.0337059161831
"English Springer Spaniel",0.508,0.508,20.41164,24.94756,0.508,22.6796,79.0952631905264,87.8836257672515,96.6719883439767
"Field Spaniel",0.4572,0.4572,15.87572,22.6796,0.4572,19.27766,75.9488123914519,92.2235579039059,108.49830341636
"Flat Coated Retriever",0.5588,0.5842,27.21552,31.75144,0.5715,29.48348,87.1573148104974,90.2705884424115,93.0337059161831
"Finnish Spitz",0.381,0.508,14.061352,15.87572,0.4445,14.968536,96.8672852901261,75.7592724981368,61.5185380370761
"Harrier",0.4826,0.5334,18.14368,27.21552,0.508,22.6796,77.9023829515803,87.8836257672515,95.6556470936071
"Ibizan Hound",0.5588,0.7366,19.050864,24.94756,0.6477,21.999212,61.0101203673482,52.4395952290559,45.9795426130686
